trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
13,False,"{'a': 0.8, 'e': 0.8775210229989678}",30,0,-60.56412573829323,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.8687458127689782}",30,0,-40.060965971935495,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.8600583546412884}",25,0,-88.60550901250049,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.8514577710948755}",25,0,-210.4036696379901,"{0: 8, 1: 2, 2: 13, 3: 0, 4: 2}",0
17,False,"{'a': 0.8, 'e': 0.8429431933839268}",30,16,-28.241576198474,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.8345137614500875}",30,0,-56.6591621683371,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.8261686238355866}",30,0,-115.35511000070545,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.8, 'e': 0.8179069375972308}",30,7,-137.93251292246202,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 3}",1
21,False,"{'a': 0.8, 'e': 0.8097278682212584}",20,0,-71.64226885214936,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.8, 'e': 0.8016305895390459}",25,0,-36.357450030243754,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.7936142836436554}",30,8,-127.77967164481295,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 3}",1
24,False,"{'a': 0.8, 'e': 0.7856781408072188}",20,0,-123.51329389538402,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
25,False,"{'a': 0.8, 'e': 0.7778213593991467}",30,0,-88.82068006041074,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.8, 'e': 0.7700431458051551}",25,0,-86.94925601245262,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.7623427143471035}",30,0,-174.49404756902155,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 4}",0
28,False,"{'a': 0.8, 'e': 0.7547192872036325}",25,0,-63.345702545069614,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
29,False,"{'a': 0.8, 'e': 0.7471720943315961}",20,12,-4.230966962396353,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.8, 'e': 0.7397003733882802}",20,0,-111.74405683047759,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.8, 'e': 0.7323033696543975}",30,0,-14.21842444009051,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.8, 'e': 0.7249803359578535}",20,0,-99.10620703499386,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
33,False,"{'a': 0.8, 'e': 0.7177305325982749}",20,0,-67.67824767048135,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.8, 'e': 0.7105532272722921}",20,15,7.336291496818561,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.7034476949995692}",20,0,-69.61651784268098,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.8, 'e': 0.6964132180495735}",25,0,-33.960162458261166,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.8, 'e': 0.6894490858690778}",20,0,-42.91361459538499,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.8, 'e': 0.682554595010387}",20,0,-64.4792545027824,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.8, 'e': 0.6757290490602831}",20,0,-115.32028586065512,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.8, 'e': 0.6689717585696803}",20,0,-20.232645670388603,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.8, 'e': 0.6622820409839835}",25,0,-105.29125699854755,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
42,False,"{'a': 0.8, 'e': 0.6556592205741436}",20,6,0.9489499495631137,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.8, 'e': 0.6491026283684022}",20,0,-51.50060541320435,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
44,False,"{'a': 0.8, 'e': 0.6426116020847181}",25,4,-64.03758047553677,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
45,False,"{'a': 0.8, 'e': 0.6361854860638709}",30,8,-112.77079261028275,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 2}",1
46,False,"{'a': 0.8, 'e': 0.6298236312032323}",20,13,10.688760540782884,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.6235253948912}",20,0,-37.77564673436955,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
48,False,"{'a': 0.8, 'e': 0.617290140942288}",20,0,-118.06938507729481,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
49,False,"{'a': 0.8, 'e': 0.611117239532865}",20,9,-42.40059706591822,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.8, 'e': 0.6050060671375364}",20,6,-43.030063711662635,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.8, 'e': 0.598956006466161}",20,12,3.2607982941118125,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.5929664464014994}",20,4,-62.38293981769688,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
53,False,"{'a': 0.8, 'e': 0.5870367819374844}",20,8,-66.50984271151805,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
54,False,"{'a': 0.8, 'e': 0.5811664141181095}",25,0,-26.727512490795412,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.8, 'e': 0.5753547499769285}",25,1,-87.68790891298548,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 2}",1
56,False,"{'a': 0.8, 'e': 0.5696012024771592}",25,13,-41.83678598632341,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.8, 'e': 0.5639051904523875}",25,0,-41.929984132101445,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.8, 'e': 0.5582661385478637}",30,12,-68.35437671730215,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
59,False,"{'a': 0.8, 'e': 0.5526834771623851}",25,1,-35.71733538849255,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.8, 'e': 0.5471566423907612}",20,0,-22.22364845333996,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
61,False,"{'a': 0.8, 'e': 0.5416850759668536}",20,7,-2.22257763790977,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.536268225207185}",30,6,-67.91026545735322,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
63,False,"{'a': 0.8, 'e': 0.5309055429551132}",30,0,-35.82805361001321,"{0: 22, 1: 5, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.8, 'e': 0.525596487525562}",30,0,-54.12783315818331,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.8, 'e': 0.5203405226503064}",20,10,-63.94287038403331,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
66,False,"{'a': 0.8, 'e': 0.5151371174238033}",20,8,-62.69454239732611,"{0: 5, 1: 0, 2: 7, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.5099857462495653}",20,1,-22.422497827657224,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.5048858887870696}",30,18,-24.70836043779,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
69,False,"{'a': 0.8, 'e': 0.4998370298991989}",25,0,-70.99305498730725,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.8, 'e': 0.49483865960020695}",30,0,-58.20662697564668,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.8, 'e': 0.4898902730042049}",30,11,9.104787912098544,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.48499137027416284}",25,13,-23.773505315968947,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.8, 'e': 0.4801414565714212}",25,0,5.53529492880933,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.8, 'e': 0.47534004200570695}",20,7,-29.935546538650147,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.8, 'e': 0.4705866415856499}",20,0,0.7077728057274371,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.8, 'e': 0.46588077516979337}",25,15,1.4359719651041352,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.46122196741809546}",20,11,-13.04822798930641,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.4566097477439145}",20,8,-11.104512883304738,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.45204365026647536}",25,3,-27.2000678520061,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.8, 'e': 0.4475232137638106}",20,4,-43.46950470157,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.8, 'e': 0.4430479816261725}",20,15,-3.098528464654091,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.8, 'e': 0.43861750180991077}",20,0,-25.221305756326508,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.8, 'e': 0.43423132679181164}",20,0,-42.49495537278653,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.8, 'e': 0.4298890135238935}",20,3,15.014491853470828,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.4255901233886546}",20,6,6.833198898136741,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.421334222154768}",30,16,6.472321224282161,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.8, 'e': 0.41712087993322033}",20,14,-28.65469635299481,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.8, 'e': 0.41294967113388814}",20,1,-61.61736224931414,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
89,False,"{'a': 0.8, 'e': 0.40882017442254925}",30,16,-100.44148854364194,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 3}",1
90,False,"{'a': 0.8, 'e': 0.4047319726783238}",20,2,5.856102877260826,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.8, 'e': 0.40068465295154054}",20,0,-109.95061099780627,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
92,False,"{'a': 0.8, 'e': 0.3966778064220251}",35,23,-18.742152380815426,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.8, 'e': 0.39271102835780486}",20,14,-11.247338928604062,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.3887839180742268}",20,0,-50.424736327169995,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.8, 'e': 0.38489607889348454}",25,11,-32.12050702496448,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.8, 'e': 0.38104711810454966}",30,14,-6.954427989408507,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.37723664692350417}",20,0,-80.39551231468599,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
98,False,"{'a': 0.8, 'e': 0.37346428045426916}",30,0,-6.157506430984437,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
99,False,"{'a': 0.8, 'e': 0.36972963764972644}",20,0,-71.15480293007045,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
100,False,"{'a': 0.8, 'e': 0.3660323412732292}",20,12,10.29612029969795,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.8, 'e': 0.3623720178604969}",25,0,-31.18421734044549,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",1
102,False,"{'a': 0.8, 'e': 0.3587482976818919}",20,5,-51.33053298384146,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
103,False,"{'a': 0.8, 'e': 0.355160814705073}",25,0,-132.70291923861342,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
104,False,"{'a': 0.8, 'e': 0.35160920655802225}",20,6,-29.54067716613092,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.8, 'e': 0.348093114492442}",25,0,-107.66063688146635,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
106,False,"{'a': 0.8, 'e': 0.3446121833475176}",20,8,-48.200603115026645,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.8, 'e': 0.34116606151404244}",30,9,14.049394571599516,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.8, 'e': 0.337754400898902}",20,5,3.2115454096144207,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 0.334376856889913}",20,10,-56.09433125249784,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
110,False,"{'a': 0.8, 'e': 0.33103308832101386}",20,6,-40.03554222764853,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.8, 'e': 0.3277227574378037}",30,10,36.07219074761939,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.3244455298634257}",20,6,8.528360574780788,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.3212010745647914}",20,7,-5.722075076402202,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.8, 'e': 0.3179890638191435}",20,10,3.093643912047222,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.8, 'e': 0.31480917318095203}",20,2,-12.587510526027755,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.8, 'e': 0.3116610814491425}",20,0,13.033755971647718,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.8, 'e': 0.30854447063465107}",25,0,-21.839888855032786,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
118,False,"{'a': 0.8, 'e': 0.3054590259283046}",20,3,5.720725465012474,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.30240443566902153}",25,13,9.420896145164962,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.8, 'e': 0.2993803913123313}",30,12,21.32168003320603,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8, 'e': 0.296386587399208}",25,17,9.215946190169236,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.8, 'e': 0.2934227215252159}",20,14,-2.2776436540297786,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.8, 'e': 0.29048849430996376}",30,14,13.059938311592614,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.8, 'e': 0.2875836093668641}",20,6,0.4904382680602897,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.8, 'e': 0.28470777327319546}",20,0,-46.66360317127564,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
126,False,"{'a': 0.8, 'e': 0.2818606955404635}",30,13,7.778431828332079,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.8, 'e': 0.27904208858505886}",25,0,34.56813622015143,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.8, 'e': 0.2762516676992083}",25,15,10.505587253206736,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8, 'e': 0.2734891510222162}",25,5,30.27995130642219,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.8, 'e': 0.27075425951199406}",30,18,-74.63622659084083,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 2}",1
131,False,"{'a': 0.8, 'e': 0.2680467169168741}",25,7,29.767996512894474,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.26536624974770534}",20,13,-11.765048282190945,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.8, 'e': 0.2627125872502283}",25,15,5.873710009135573,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.8, 'e': 0.26008546137772603}",20,3,-112.67678809704991,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 3}",1
135,False,"{'a': 0.8, 'e': 0.25748460676394874}",30,18,20.74455435982458,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8, 'e': 0.2549097606963093}",25,13,8.385765764232874,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.8, 'e': 0.2523606630893462}",25,9,-12.388619620295941,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.8, 'e': 0.2498370564584527}",35,21,8.464855796384496,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.8, 'e': 0.24733868589386818}",25,8,7.497071543212424,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.24486529903492948}",25,7,8.080321636500674,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.8, 'e': 0.2424166460445802}",25,9,12.301881357095189,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.8, 'e': 0.2399924795841344}",25,9,30.73564547739155,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.8, 'e': 0.23759255478829303}",25,5,33.67413660002955,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.8, 'e': 0.23521662924041012}",25,14,-3.7066622986826765,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.232864462948006}",20,3,-32.99526493091158,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
146,False,"{'a': 0.8, 'e': 0.23053581831852593}",20,0,20.323862992042333,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
147,False,"{'a': 0.8, 'e': 0.22823046013534068}",25,18,11.911709630530837,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.22594815553398728}",25,11,16.51755929107178,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.8, 'e': 0.2236886739786474}",25,4,18.39251328956395,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.8, 'e': 0.22145178723886091}",20,3,-10.98485944153862,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.8, 'e': 0.2192372693664723}",25,17,15.375772818287114,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.8, 'e': 0.21704489667280757}",25,0,20.49924536044512,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.8, 'e': 0.2148744477060795}",25,13,10.842242259395931,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.8, 'e': 0.2127257032290187}",25,12,12.510602764287622,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.21059844619672852}",20,3,2.24026118382666,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.20849246173476124}",20,12,8.810365034759664,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8, 'e': 0.2064075371174136}",30,11,24.931061869357954,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.20434346174623946}",25,13,9.427708290053854,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.2023000271287771}",20,9,-22.61677953367486,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.8, 'e': 0.20027702685748933}",25,6,7.965956678821228,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.19827425658891443}",25,11,27.44861551223738,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.19629151402302528}",20,8,23.09636147596346,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.19432859888279502}",35,7,37.77723849206032,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.8, 'e': 0.19238531289396707}",20,12,13.722184314606915,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.1904614597650274}",20,8,25.635867628342048,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.1885568451673771}",35,21,26.359971683613868,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.18667127671570335}",20,8,-31.500694488869474,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
168,False,"{'a': 0.8, 'e': 0.1848045639485463}",25,0,-18.08814177357625,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
169,False,"{'a': 0.8, 'e': 0.18295651830906084}",25,13,-28.00538682482882,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.8, 'e': 0.18112695312597024}",20,10,2.6239016426817634,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.8, 'e': 0.17931568359471053}",30,11,-13.166853544710767,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.8, 'e': 0.17752252675876343}",20,8,10.439997503595846,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.1757473014911758}",30,24,11.132112646469672,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.17398982847626404}",20,6,26.822443749351965,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.1722499301915014}",25,5,-11.827630635113362,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.8, 'e': 0.17052743088958636}",20,6,12.889481726532352,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.1688221565806905}",25,13,-28.72412833633683,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.8, 'e': 0.1671339350148836}",25,12,25.2649590217865,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.8, 'e': 0.16546259566473476}",20,8,-14.347060098391404,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
180,False,"{'a': 0.8, 'e': 0.16380796970808742}",25,15,17.24672089472794,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 0.16216989001100654}",30,16,15.059655234127861,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.16054819111089647}",25,8,-33.25983841731479,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
183,False,"{'a': 0.8, 'e': 0.1589427091997875}",20,8,8.278666697506424,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.8, 'e': 0.15735328210778962}",20,8,17.588181236981356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8, 'e': 0.15577974928671173}",20,0,5.910036643284742,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
186,False,"{'a': 0.8, 'e': 0.15422195179384462}",25,10,24.69257027948068,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.8, 'e': 0.15267973227590617}",20,10,-8.93622489815884,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
188,False,"{'a': 0.8, 'e': 0.1511529349531471}",25,14,2.1449010218447855,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.8, 'e': 0.14964140560361563}",25,12,20.464714965751035,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.8, 'e': 0.14814499154757946}",25,6,-8.24401650406373,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
191,False,"{'a': 0.8, 'e': 0.14666354163210368}",35,24,9.109920169452721,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.8, 'e': 0.14519690621578263}",20,12,13.460094088020906,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.8, 'e': 0.1437449371536248}",25,12,17.327674056990922,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.8, 'e': 0.14230748778208857}",20,14,11.294235983429045,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.8, 'e': 0.14088441290426768}",30,14,-16.021443178885747,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
196,False,"{'a': 0.8, 'e': 0.139475568775225}",20,9,12.327309023273378,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
