trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
349,False,"{'a': 0.8, 'e': 0.02996973580906778}",20,10,17.512759608151217,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.8, 'e': 0.0296700384509771}",30,20,18.515723199572733,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.8, 'e': 0.02937333806646733}",25,17,17.96579654780637,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.8, 'e': 0.029079604685802656}",20,13,14.647361606826918,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.8, 'e': 0.02878880863894463}",20,10,9.300073864880087,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
354,False,"{'a': 0.8, 'e': 0.02850092055255518}",20,13,13.430556348833852,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.8, 'e': 0.02821591134702963}",25,13,9.52497418197198,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
356,False,"{'a': 0.8, 'e': 0.027933752233559334}",25,14,21.267322266832434,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.8, 'e': 0.027654414711223742}",25,18,12.431247061505857,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.8, 'e': 0.027377870564111503}",30,16,28.99488132985912,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.8, 'e': 0.027104091858470385}",30,14,32.56319160509992,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.8, 'e': 0.026833050939885684}",20,14,10.449870533481757,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.8, 'e': 0.026564720430486827}",20,3,29.743189870391323,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.8, 'e': 0.026299073226181958}",20,4,32.38702828286159,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.8, 'e': 0.026036082493920136}",30,24,9.146369278781524,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.8, 'e': 0.025775721668980935}",25,13,26.259108024265863,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.8, 'e': 0.025517964452291125}",25,8,-13.518124575587926,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
366,False,"{'a': 0.8, 'e': 0.025262784807768213}",20,5,26.772652536887804,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.8, 'e': 0.025010156959690534}",20,7,22.157640727335394,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.8, 'e': 0.024760055390093627}",25,8,30.11739604028356,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.8, 'e': 0.02451245483619269}",20,15,9.825181833751172,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.8, 'e': 0.024267330287830763}",25,7,30.311644213604406,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.8, 'e': 0.024024656984952455}",20,11,15.903478419170058,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.8, 'e': 0.02378441041510293}",20,12,14.342602391122758,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.8, 'e': 0.0235465663109519}",20,12,13.421253022789951,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.8, 'e': 0.02331110064784238}",25,19,9.035787591486596,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.8, 'e': 0.02307798964136396}",20,8,20.448628190208005,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.8, 'e': 0.022847209744950317}",25,19,12.571540476340653,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.8, 'e': 0.022618737647500817}",20,12,15.893282754240696,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.8, 'e': 0.022392550271025807}",25,15,4.8598888691988815,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
379,False,"{'a': 0.8, 'e': 0.022168624768315548}",20,3,27.337908386038663,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.8, 'e': 0.021946938520632394}",25,18,16.023576626942226,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.8, 'e': 0.02172746913542607}",20,13,15.505153466403558,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.8, 'e': 0.021510194444071807}",30,15,25.312457152090893,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.8, 'e': 0.021295092499631088}",20,16,9.639072389735606,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.8, 'e': 0.02108214157463478}",25,7,33.30781494791857,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.8, 'e': 0.02087132015888843}",25,16,6.997688510771587,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.8, 'e': 0.020662606957299545}",20,16,8.08565665794255,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.8, 'e': 0.02045598088772655}",20,12,14.142364854212396,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
